name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;944;0;968;3225;1817;3225;1792;0
header;149;195;149;226;1794;226;1794;195
A;964;263;964;290;985;290;985;263
B;1790;599;1790;611;1798;611;1798;599
B;1499;678;1499;696;1512;696;1512;678
D;1399;715;1399;742;1431;742;1431;715
B;971;943;971;969;991;969;991;943
B;1406;960;1406;975;1414;975;1414;960
C;973;1630;973;1658;993;1658;993;1630
A;1230;1967;1230;1982;1238;1982;1238;1967
A;1001;2150;1001;2151;1001;2151;1001;2150
B;1143;2245;1143;2263;1157;2263;1157;2245
D;979;2304;979;2330;1000;2330;1000;2304
A;1066;2419;1066;2421;1067;2421;1067;2419
